episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-21713.031569242477,59,421,9.542372703552246,97.45762634277344,0.9497296573624237,0.596429501527122,12.938511848449707,0.0003,3,11
2,-21201.481709241867,62,418,9.693548202514648,98.38709259033203,0.9011560443397059,0.16100783044831796,8.032647132873535,0.0002802714301553792,2,10
3,-25691.276434898376,74,406,10.027027130126953,95.60810852050781,0.8503544719998032,0.17021766943590982,9.334373235702515,0.00026184024853780535,4,12
4,-21853.05937075615,76,404,11.723684310913086,95.72368621826172,0.8053784411990679,0.23438983170662897,8.97576117515564,0.00024462113643310216,3,14
5,-21812.38674068451,98,382,11.73469352722168,97.448974609375,0.7627812340691625,0.40961590181973023,8.736916780471802,0.00022853438584779896,7,13
6,-20068.566437363625,127,353,15.133858680725098,94.6850357055664,0.7237690370745309,0.600012435202013,8.286965131759644,0.00021350553053747957,9,18
7,-23784.544897794724,146,334,14.568492889404297,95.54794311523438,0.6823386941416715,1.132542981300503,9.156970024108887,0.00019946500129940797,9,21
8,-20790.487503528595,161,319,14.409937858581543,95.80745697021484,0.6462491724953897,1.7692175073138738,8.533663272857666,0.0001863478039337655,6,23
9,-21827.273281097412,178,302,15.606741905212402,94.66292572021484,0.6109420249055738,2.2405499327378195,9.034275531768799,0.00017409321838276885,11,25
10,-20059.93834400177,208,272,15.543270111083984,97.35577392578125,0.5780960474057198,2.7195539832115174,8.786086082458496,0.00016264451765497128,13,28
11,-21214.957118988037,232,248,16.48706817626953,96.22844696044922,0.5465123745198739,3.9334950955187686,8.213660955429077,0.00015194870523363544,15,29
12,-21853.117743492126,239,241,15.225940704345703,96.54811096191406,0.5161786054966747,5.625440805189071,9.124776840209961,0.00014195626975363053,17,31
13,-22508.07354927063,254,226,16.33858299255371,94.98031616210938,0.4861832584649859,6.626906369282649,9.111929416656494,0.00013262095581124278,15,31
14,-18994.518045783043,272,208,16.301469802856445,96.04779815673828,0.46004466639348,8.553317904472351,8.851179122924805,0.00012389954984596787,22,36
15,-19522.876480817795,280,200,15.435714721679688,95.35713958740234,0.43531135922963976,12.965620096524557,8.95700478553772,0.0001157516801031237,20,33
16,-19839.490882873535,286,194,15.25874137878418,96.6783218383789,0.411528578435512,14.871971740097296,8.266399383544922,0.00010813962975130146,19,37
17,-21082.258143424988,308,172,15.665584564208984,95.61688232421875,0.38832915700495707,16.941946922786652,9.499727964401245,0.00010102816228956819,21,39
18,-22233.146958351135,295,185,14.616949081420898,96.0169448852539,0.36610022854654517,19.244786947965622,9.410916328430176,9.438435843622342e-05,19,35
19,-19400.084785938263,301,179,14.305647850036621,97.6744155883789,0.34609872548535475,24.038494000669385,8.342093706130981,8.81774637440609e-05,18,38
20,-18903.444427490234,318,162,15.245282173156738,96.3050308227539,0.3271899836231811,28.57787670072962,9.332932233810425,8.237874623674016e-05,21,40
21,-21832.542680740356,331,149,15.392748832702637,96.60121154785156,0.30817684166115317,36.99929143465482,10.205039501190186,7.696136340726076e-05,21,41
22,-17253.850113868713,321,159,14.704049110412598,97.5856704711914,0.2921460373877351,44.568357664963294,7.8320677280426025,7.190023796286947e-05,23,41
23,-18588.196442127228,329,151,14.604863166809082,96.8844985961914,0.27643943712203534,48.08864116668701,8.856691360473633,6.71719417412184e-05,19,44
24,-20444.44123840332,333,147,14.378378868103027,97.74774932861328,0.2608555011868921,51.0088328709678,9.108460903167725,6.275458726041699e-05,23,40
25,-15815.093071937561,329,151,14.468085289001465,96.96048736572266,0.2477422057633299,56.193643365587505,7.965015172958374,5.8627726400958704e-05,21,41
26,-17263.00384902954,329,151,13.96048641204834,97.41641235351562,0.23485510240588967,61.700030359728586,8.179492712020874,5.47722557505166e-05,23,41
27,-21590.797653198242,346,134,13.947976112365723,97.03756713867188,0.2214114112091278,67.13867956399918,9.025012969970703,5.117032817344494e-05,24,41
28,-18829.652254104614,343,137,13.927114486694336,98.68804931640625,0.20950770523651951,71.84706223805746,8.413726806640625,4.780527019563836e-05,22,42
29,-17098.466388702393,344,136,14.244186401367188,98.25581359863281,0.1984266498484657,79.97358464386504,8.007912158966064,4.4661504822319626e-05,22,42
30,-15374.335803508759,348,132,13.974138259887695,98.77873229980469,0.18827818367346902,86.50624613176312,8.26377248764038,4.172447943147629e-05,25,43
31,-25435.94074821472,352,128,13.838068962097168,98.5085220336914,0.17635996338980092,86.80239132088674,9.56456995010376,3.8980598409161886e-05,22,42
32,-15049.443099975586,357,123,14.0252103805542,98.31932830810547,0.1676486266073911,99.2234053178267,7.767923831939697,3.641716021482767e-05,21,45
33,-17842.334460258484,360,120,13.911111831665039,98.61111450195312,0.1587815364205631,107.9652876773123,8.462567329406738,3.402229858535777e-05,24,43
34,-19374.680623054504,361,119,13.653738975524902,98.13018798828125,0.14996848355023906,105.17172327349263,8.228681325912476,3.178492760563852e-05,23,45
35,-18343.62876033783,366,114,13.800545692443848,98.01911926269531,0.1419057521689108,114.86012992858886,8.2218918800354,2.9694690391391673e-05,23,44
36,-21094.199981689453,361,119,13.124653816223145,98.61495208740234,0.13378271336047137,125.59307515621185,8.532164335250854,2.7741911146721807e-05,26,42
37,-15042.239849090576,355,125,13.57746410369873,98.87323760986328,0.12705741052085573,129.04149464198522,7.20598292350769,2.591755037445059e-05,24,43
38,-18664.599117279053,362,118,13.486187934875488,98.75691223144531,0.12011576179375932,139.7947991793273,8.145723104476929,2.4213163031904505e-05,26,42
39,-20955.860961437225,366,114,12.980874061584473,99.45355224609375,0.11334438229710479,140.52330840580046,7.850111484527588,2.2620859438457447e-05,24,43
40,-13997.850932121277,370,110,13.31351375579834,98.24324798583984,0.10784499632938453,149.83621879860206,7.417071342468262,2.1133268753867592e-05,25,44
41,-16397.55626487732,362,118,13.367403984069824,99.17127227783203,0.10223509385032435,151.64501795275459,7.925497055053711,1.97435048583482e-05,21,44
42,-20554.17951965332,368,112,13.247282981872559,99.11685180664062,0.09638290236239833,159.32783365249634,7.924215793609619,1.8445134476429758e-05,28,46
43,-23175.554182052612,358,122,13.318435668945312,98.8128433227539,0.090614980223201,156.49699834567397,8.872774839401245,1.7232147397057535e-05,23,44
44,-18978.672444343567,359,121,12.785514831542969,99.0947036743164,0.08558546212208362,161.47570468533425,8.2158522605896,1.6098928652072037e-05,23,43
45,-13990.138801574707,367,113,13.392370223999023,98.43324279785156,0.08135795056054085,159.17093880393287,8.093090057373047,1.504023252428547e-05,24,45
46,-16477.013382911682,362,118,12.569061279296875,99.44751739501953,0.07712585649892255,165.58645327337857,8.05848217010498,1.405115826483646e-05,26,43
47,-16763.7644033432,369,111,12.972900390625,98.9837417602539,0.07304659895204225,165.1892039412159,7.592961072921753,1.3127127407417639e-05,23,45
48,-18108.22953605652,353,127,12.232294082641602,99.5750732421875,0.06911940643980603,162.60020599365234,8.46762990951538,1.2263862574362724e-05,22,42
49,-15590.264404296875,358,122,13.600558280944824,99.51116943359375,0.06552393940159923,167.13363476457266,7.640937805175781,1.1457367676485572e-05,23,45
50,-18355.65084171295,363,117,12.696969985961914,99.38016510009766,0.0620011864208735,159.93669840494792,8.0971360206604,1.0703909415015418e-05,23,43
