episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-24710.94980955124,74,406,9.472972869873047,96.62162017822266,0.9462371613657939,0.7790979785223802,13.73861026763916,0.0003,4,11
2,-20332.38371706009,69,411,10.594202995300293,96.01449584960938,0.8994975815300366,0.13424968841401014,7.840304374694824,0.0002802714301553792,5,9
3,-21555.542241096497,87,393,9.05747127532959,99.13793182373047,0.8534930716135499,0.2696396147734241,8.86394190788269,0.00026184024853780535,5,13
4,-22041.685379981995,108,372,11.611111640930176,94.44444274902344,0.8090958991783835,0.46390158143536797,8.366388082504272,0.00024462113643310216,6,14
5,-24357.03655207157,120,360,13.133334159851074,93.12500762939453,0.7641876239634695,0.8184709779677852,9.130994081497192,0.00022853438584779896,9,15
6,-24972.42360663414,128,352,14.359375,96.2890625,0.7211074791829015,0.878075777538239,9.230280876159668,0.00021350553053747957,8,19
7,-20937.324627518654,163,317,13.049079895019531,96.62576293945312,0.6835967668381066,1.4239345131249264,8.25007152557373,0.00019946500129940797,13,21
8,-18232.97006869316,201,279,14.398009300231934,95.39801025390625,0.6498303634842393,2.1165194630622866,9.066898822784424,0.0001863478039337655,16,24
9,-24996.532839775085,213,267,15.873239517211914,95.65727996826172,0.6120684588704618,2.8166167130837074,9.148859977722168,0.00017409321838276885,15,31
10,-23236.236799240112,232,248,14.517241477966309,97.09051513671875,0.5780960474057198,3.723713324915978,8.662883758544922,0.00016264451765497128,16,31
11,-27871.938457012177,235,245,13.9234037399292,96.9148941040039,0.5425003216311519,4.099668247112329,9.980916500091553,0.00015194870523363544,16,31
12,-20660.10561800003,255,225,14.466667175292969,93.92157745361328,0.5133339643802912,4.34341364701589,8.669973611831665,0.00014195626975363053,21,28
13,-19103.672955513,279,201,15.164874076843262,95.07168579101562,0.48663125607320085,5.5820603699519715,8.34816837310791,0.00013262095581124278,21,34
