Using device: cuda
ALGORITHM: QRDQN
EP 54/100 | time  4.98s | reward  24103.3 | evac 331 | died 149 | eps 0.249 | lr 0.00005 | loss  1.263
EP 55/100 | time  4.78s | reward  23311.7 | evac 288 | died 192 | eps 0.243 | lr 0.00005 | loss  1.263
EP 56/100 | time  4.62s | reward  19292.2 | evac 297 | died 183 | eps 0.237 | lr 0.00004 | loss  1.262
EP 57/100 | time  4.61s | reward  21474.4 | evac 294 | died 186 | eps 0.231 | lr 0.00004 | loss  1.270
EP 58/100 | time  4.93s | reward  24568.3 | evac 301 | died 179 | eps 0.224 | lr 0.00004 | loss  1.304
EP 59/100 | time  4.14s | reward  18125.6 | evac 289 | died 191 | eps 0.219 | lr 0.00004 | loss  1.366
EP 60/100 | time  4.67s | reward  23089.9 | evac 277 | died 203 | eps 0.213 | lr 0.00004 | loss  1.393
EP 61/100 | time  4.51s | reward  20128.9 | evac 271 | died 209 | eps 0.208 | lr 0.00004 | loss  1.450
EP 62/100 | time  5.01s | reward  17363.6 | evac 235 | died 245 | eps 0.202 | lr 0.00004 | loss  1.453
EP 63/100 | time  4.76s | reward  26155.5 | evac 305 | died 175 | eps 0.196 | lr 0.00004 | loss  1.511
EP 64/100 | time  4.40s | reward  22717.0 | evac 294 | died 186 | eps 0.192 | lr 0.00003 | loss  1.532
EP 65/100 | time  4.50s | reward  19811.9 | evac 260 | died 220 | eps 0.187 | lr 0.00003 | loss  1.580
EP 66/100 | time  4.42s | reward  21545.8 | evac 273 | died 207 | eps 0.182 | lr 0.00003 | loss  1.552
EP 67/100 | time  4.50s | reward  24951.8 | evac 293 | died 187 | eps 0.177 | lr 0.00003 | loss  1.511
EP 68/100 | time  4.55s | reward  28102.1 | evac 302 | died 178 | eps 0.173 | lr 0.00003 | loss  1.566
EP 69/100 | time  4.66s | reward  20954.0 | evac 270 | died 210 | eps 0.168 | lr 0.00003 | loss  1.574
EP 70/100 | time  4.49s | reward  17953.4 | evac 245 | died 235 | eps 0.164 | lr 0.00003 | loss  1.535
EP 71/100 | time  4.63s | reward  17111.7 | evac 243 | died 237 | eps 0.160 | lr 0.00003 | loss  1.571
EP 72/100 | time  4.63s | reward  23957.6 | evac 280 | died 200 | eps 0.155 | lr 0.00003 | loss  1.574
EP 73/100 | time  4.55s | reward  15545.0 | evac 232 | died 248 | eps 0.151 | lr 0.00003 | loss  1.619
EP 74/100 | time  4.70s | reward  11540.9 | evac 204 | died 276 | eps 0.147 | lr 0.00002 | loss  1.635
EP 75/100 | time  4.64s | reward  21397.5 | evac 263 | died 217 | eps 0.143 | lr 0.00002 | loss  1.659
EP 76/100 | time  4.16s | reward  15679.9 | evac 242 | died 238 | eps 0.140 | lr 0.00002 | loss  1.626
EP 77/100 | time  4.63s | reward  31166.8 | evac 335 | died 145 | eps 0.136 | lr 0.00002 | loss  1.608
EP 78/100 | time  4.79s | reward  28349.6 | evac 319 | died 161 | eps 0.133 | lr 0.00002 | loss  1.606
EP 79/100 | time  4.21s | reward  27553.4 | evac 311 | died 169 | eps 0.129 | lr 0.00002 | loss  1.670
EP 80/100 | time  4.54s | reward  23506.7 | evac 275 | died 205 | eps 0.126 | lr 0.00002 | loss  1.646
EP 81/100 | time  4.60s | reward  19008.3 | evac 257 | died 223 | eps 0.123 | lr 0.00002 | loss  1.669
EP 82/100 | time  4.53s | reward   8899.6 | evac 185 | died 295 | eps 0.120 | lr 0.00002 | loss  1.640
